チーム,背番号,選手,生年月日,ポジション,投打,出身,年俸,,,年齢,,2026,中日,横浜,巨人,阪神,ヤクルト,広島,ソフトバンク,日本ハム,楽天,西武,ロッテ,オリックス,OB,,パワプロ
巨人,65,石川 達也,1998.04.15,投手,,,"3,650",1998,04,28,04,,,,,,,,木下 勇人,,,,,,森 昌彦,,
巨人,63,泉 圭輔,1997.03.02,投手,,,"3,500",1997,03,29,03,,,,,,,,河野 伸一朗,,,,,,川上 哲治,,
巨人,59,若林 楽人,1998.04.13,外野手,,,"3,250",1998,04,28,04,,,,,,,,熊谷 太雅,,,,,,仁志 敏久,,
巨人,62,横川 凱,2000.08.30,投手,,,"3,000",2000,08,26,08,,,,,,,,広瀬 結煌,,,,,,中畑 清,,
巨人,0,増田 大輝,1993.07.29,内野手,,,"2,700",1993,07,33,07,,,,,,,,池田 栞太,,,,,,二岡 智宏,,
巨人,66,平内 龍太,1998.08.01,投手,,,"2,700",1998,08,28,08,,,,,,,,長﨑 蓮汰,,,,,,ラミレス,,
巨人,17,西舘 勇陽,2002.03.11,投手,,,"2,700",2002,03,24,03,,,,,,,,大橋 令和,,,,,,柴田 勲,,
巨人,52,リチャード,1999.06.18,内野手,,,"2,600",1999,06,27,06,,,,,,,,江崎 歩,,,,,,吉村 禎章,,
巨人,61,増田 陸,2000.06.17,内野手,,,"2,600",2000,06,26,06,,,,,,,,エミール,,,,,,金田 正一,,
巨人,44,佐々木 俊輔,1999.11.06,外野手,,,"2,300",1999,11,27,11,,,,,,,,J.モレノ,,,,,,松岡 弘,,
巨人,51,浅野 翔吾,2004.11.24,外野手,,,"1,700",2004,11,22,11,,,,,,,,,,,,,,石井 一久,,
巨人,12,萩尾 匡也,2000.12.28,外野手,,,"1,600",2000,12,26,12,,,,,,,,,,,,,,伊藤 智仁,,
巨人,21,竹丸 和幸,2002.02.26,投手,,,"1,600",2002,02,24,02,,,,,,,,,,,,,,安田 猛,,
巨人,47,森田 駿哉,1997.02.11,投手,,,"1,500",1997,02,29,02,,,,,,,,,,,,,,石川 雅規,,
巨人,91,堀田 賢慎,2001.05.21,投手,,,"1,500",2001,05,25,05,,,,,,,,,,,,,,五十嵐 亮太,,
巨人,0,湯浅 大,2000.01.24,内野手,,,"1,350",2000,01,26,01,,,,,,,,,,,,,,石井 弘寿,,
巨人,50,板東 湧梧,1995.12.27,投手,,,"1,300",1995,12,31,12,,,,,,,,,,,,,,松岡 健一,,
巨人,56,北浦 竜次,2000.01.12,投手,,,"1,300",2000,01,26,01,,,,,,,,,,,,,,尾花 高夫,,
巨人,32,浦田 俊輔,2002.08.30,内野手,,,"1,300",2002,08,24,08,,,,,,,,,,,,,,山本 樹,,
巨人,23,石塚 裕惺,2006.04.06,内野手,,,"1,230",2006,04,20,04,,,,,,,,,,,,,,高津 臣吾,,
巨人,60,荒巻 悠,2002.12.23,内野手,,,"1,200",2002,12,24,12,,,,,,,,,,,,,,古田 敦也,,
巨人,30,田和 廉,2003.05.02,投手,,,"1,200",2003,05,23,05,,,,,,,,,,,,,,ペタジーニ,,
巨人,35,E.ルシアーノ,2000.02.15,投手,,,"1,000",2000,02,26,02,,,,,,,,,,,,,,山田 哲人,,
巨人,67,山瀬 慎之助,2001.05.04,捕手,,,"1,000",2001,05,25,05,,,,,,,,,,,,,,村上 宗隆,,
巨人,33,小濱 佑斗,2001.10.05,内野手,,,"1,000",2001,10,25,10,,,,,,,,,,,,,,宮本 慎也,,
巨人,57,宮原 駿介,2002.09.12,投手,,,"1,000",2002,09,24,09,,,,,,,,,,,,,,若松 勉,,
巨人,39,皆川 岳飛,2003.04.30,外野手,,,"1,000",2003,04,23,04,,,,,,,,,,,,,,青木 宣親,,
巨人,36,山城 京平,2003.09.20,投手,,,"1,000",2003,09,23,09,,,,,,,,,,,,,,杉浦 享,,
巨人,46,又木 鉄平,1999.02.12,投手,,,970,1999,02,27,02,,,,,,,,,,,,,,大矢 明彦,,
巨人,64,山田 龍聖,2000.09.07,投手,,,950,2000,09,26,09,,,,,,,,,,,,,,大杉 勝男,,
巨人,38,岡田 悠希,2000.01.19,外野手,,,850,2000,01,26,01,,,,,,,,,,,,,,土橋 勝征,,
巨人,37,郡 拓也,1998.04.25,捕手,,,840,1998,04,28,04,,,,,,,,,,,,,,岩村 明憲,,
巨人,54,松浦 慶斗,2003.07.01,投手,,,650,2003,07,23,07,,,,,,,,,,,,,,池山 隆寛,,
巨人,21,松井 颯,2000.09.14,投手,,,630,2000,09,26,09,,,,,,,,,,,,,,真中 満,,
巨人,68,代木 大和,2003.09.08,投手,,,620,2003,09,23,09,,,,,,,,,,,,,,飯田 哲也,,
巨人,20,喜多 隆介,1998.08.25,捕手,,,600,1998,08,28,08,,,,,,,,,,,,,,稲葉 篤紀,,
巨人,69,笹原 操希,2004.02.09,外野手,,,600,2004,02,22,02,,,,,,,,,,,,,,山本 昌広,,
巨人,90,石田 充冴,2006.07.21,投手,,,560,2006,07,20,07,,,,,,,,,,,,,,今中 慎二,,
巨人,13,J.ティマ,2004.09.25,外野手,,,550,2004,09,22,09,,,,,,,,,,,,,,川上 憲伸,,
巨人,67,川原田 純平,2002.05.21,内野手,,,540,2002,05,24,05,,,,,,,,,,,,,,権藤 博,,
巨人,99,藤井 健翔,2007.08.15,内野手,,,540,2007,08,19,08,,,,,,,,,,,,,,杉下 茂,,
巨人,77,石田 隼都,2003.04.05,投手,,,510,2003,04,23,04,,,,,,,,,,,,,,星野 仙一,,
巨人,96,三塚 琉生,2004.05.10,外野手,,,450,2004,05,22,05,,,,,,,,,,,,,,浅尾 拓也,,
巨人,41,黃 錦豪,2005.12.04,投手,,,450,2005,12,21,12,,,,,,,,,,,,,,落合 英二,,
巨人,1,鈴木 大和,1999.04.27,外野手,,,440,1999,04,27,04,,,,,,,,,,,,,,平井 正史,,
巨人,51,舟越 秀虎,2001.08.23,外野手,,,440,2001,08,25,08,,,,,,,,,,,,,,ギャラード,,
巨人,99,京本 眞,2004.02.06,投手,,,440,2004,02,22,02,,,,,,,,,,,,,,高橋 聡文,,
巨人,7,宇都宮 葵星,2004.06.23,内野手,,,440,2004,06,22,06,,,,,,,,,,,,,,岩瀬 仁紀,,
巨人,24,坂本 達也,2002.08.31,捕手,,,420,2002,08,24,08,,,,,,,,,,,,,,落合 博満,,
巨人,63,花田 侑樹,2003.06.25,投手,,,420,2003,06,23,06,,,,,,,,,,,,,,高木 守道,,
巨人,2,中田 歩夢,2004.06.27,内野手,,,420,2004,06,22,06,,,,,,,,,,,,,,立浪 和義,,
巨人,19,園田 純規,2005.07.07,投手,,,420,2005,07,21,07,,,,,,,,,,,,,,井端 弘和,,
巨人,28,富田 龍,1999.11.11,投手,,,410,1999,11,27,11,,,,,,,,,,,,,,田尾 安志,,
巨人,18,木下 幹也,2002.05.01,投手,,,410,2002,05,24,05,,,,,,,,,,,,,,中 利夫,,
巨人,23,田村 朋輝,2004.04.06,投手,,,410,2004,04,22,04,,,,,,,,,,,,,,福留 孝介,,
巨人,3,知念 大成,2000.04.27,外野手,,,400,2000,04,26,04,,,,,,,,,,,,,,T.ウッズ,,
巨人,11,冨重 英二郎,2001.06.01,投手,,,400,2001,06,25,06,,,,,,,,,,,,,,木俣 達彦,,
巨人,12,林 燦,2003.04.22,投手,,,400,2003,04,23,04,,,,,,,,,,,,,,谷沢 健一,,
巨人,47,河野 優作,2003.07.03,投手,,,400,2003,07,23,07,,,,,,,,,,,,,,荒木 雅博,,
巨人,22,亀田 啓太,1999.04.09,捕手,,,390,1999,04,27,04,,,,,,,,,,,,,,大島 康徳,,
巨人,33,平山 功太,2004.03.16,内野手,,,390,2004,03,22,03,,,,,,,,,,,,,,宇野 勝,,
巨人,8,相澤 白虎,2004.05.28,外野手,,,380,2004,05,22,05,,,,,,,,,,,,,,和田 一浩,,
巨人,34,森本 哲星,2004.09.03,投手,,,380,2004,09,22,09,,,,,,,,,,,,,,大島 洋平,,
巨人,26,吉村 優聖歩,2004.12.08,投手,,,380,2004,12,22,12,,,,,,,,,,,,,,江藤 慎一,,
巨人,14,堀江 正太郎,2006.10.08,投手,,,380,2006,10,20,10,,,,,,,,,,,,,,野田 浩司,,
巨人,29,西川 歩,2006.11.15,投手,,,380,2006,11,20,11,,,,,,,,,,,,,,山本 由伸,,
巨人,27,北村 流音,2005.02.20,内野手,,,370,2005,02,21,02,,,,,,,,,,,,,,長谷川 滋利,,
巨人,5,田上 優弥,2005.06.08,内野手,,,370,2005,06,21,06,,,,,,,,,,,,,,星野 伸之,,
巨人,4,村山 源,2005.06.27,内野手,,,370,2005,06,21,06,,,,,,,,,,,,,,佐藤 義則,,
巨人,25,竹下 徠空,2006.11.12,内野手,,,370,2006,11,20,11,,,,,,,,,,,,,,金子 千尋,,
巨人,30,吹田 志道,2007.02.21,投手,,,370,2007,02,19,02,,,,,,,,,,,,,,鈴木 平,,
巨人,49,C.フェリス,2002.09.07,外野手,,,360,2002,09,24,09,,,,,,,,,,,,,,佐藤 達也,,
巨人,16,千葉 隆広,2005.05.15,投手,,,360,2005,05,21,05,,,,,,,,,,,,,,大久保 勝信,,
巨人,15,鈴木 圭晋,2006.07.09,投手,,,360,2006,07,20,07,,,,,,,,,,,,,,加藤 大輔,,
巨人,42,F.グズマン,2006.12.30,投手,,,360,2006,12,20,12,,,,,,,,,,,,,,岸田 護,,
巨人,6,松井 蓮太朗,2007.08.03,捕手,,,360,2007,08,19,08,,,,,,,,,,,,,,中嶋 聡,,
中日,23,M.サノー,1993.05.11,内野手,,,"20,000",1993,05,33,05,,,,,,,,,,,,,,ブーマー,,
中日,17,柳 裕也,1994.04.22,投手,,,"20,000",1994,04,32,04,,,,,,,,,,,,,,後藤 光尊,,
中日,19,髙橋 宏斗,2002.08.09,投手,,,"20,000",2002,08,24,08,,,,,,,,,,,,,,松永 浩美,,
中日,22,大野 雄大,1988.09.26,投手,,,"17,000",1988,09,38,09,,,,,,,,,,,,,,小川 博文,,
中日,24,J.ボスラー,1993.09.06,外野手,,,"15,000",1993,09,33,09,,,,,,,,,,,,,,田口 壮,,
中日,28,アブレウ,1995.09.26,投手,,,"15,000",1995,09,31,09,,,,,,,,,,,,,,谷 佳知,,
中日,1,岡林 勇希,2002.02.22,外野手,,,"15,000",2002,02,24,02,,,,,,,,,,,,,,イチロー,,
中日,55,細川 成也,1998.08.04,外野手,,,"13,000",1998,08,28,08,,,,,,,,,,,,,,吉田 正尚,,
中日,50,清水 達也,1999.11.03,投手,,,"12,500",1999,11,27,11,,,,,,,,,,,,,,日高 剛,,
中日,90,松山 晋也,2000.06.23,投手,,,"12,500",2000,06,26,06,,,,,,,,,,,,,,藤井 康雄,,
中日,54,藤嶋 健人,1998.05.08,投手,,,"12,000",1998,05,28,05,,,,,,,,,,,,,,福良 淳一,,
中日,91,H.メヒア,1997.03.03,投手,,,"11,000",1997,03,29,03,,,,,,,,,,,,,,本西 厚博,,
中日,38,松葉 貴大,1990.08.14,投手,,,"10,000",1990,08,36,08,,,,,,,,,,,,,,塩崎 真,,
中日,93,K.マラー,1997.10.07,投手,,,"10,000",1997,10,29,10,,,,,,,,,,,,,,T-岡田,,
中日,4,O.カリステ,1992.02.03,内野手,,,"9,000",1992,02,34,02,,,,,,,,,,,,,,糸井 嘉男,,
中日,20,涌井 秀章,1986.06.21,投手,,,"7,000",1986,06,40,06,,,,,,,,,,,,,,石嶺 和彦,,
中日,35,木下 拓哉,1991.12.18,捕手,,,"7,000",1991,12,35,12,,,,,,,,,,,,,,村田 兆治,,
中日,8,大島 洋平,1985.11.09,外野手,,,"6,000",1985,11,41,11,,,,,,,,,,,,,,木樽 正明,,
中日,3,高橋 周平,1994.01.18,内野手,,,"6,000",1994,01,32,01,,,,,,,,,,,,,,黒木 知宏,,
中日,59,齋藤 綱記,1996.12.18,投手,,,"5,500",1996,12,30,12,,,,,,,,,,,,,,成瀬 善久,,
中日,51,上林 誠知,1995.08.01,外野手,,,"4,600",1995,08,31,08,,,,,,,,,,,,,,渡辺 俊介,,
中日,13,橋本 侑樹,1998.01.08,投手,,,"3,900",1998,01,28,01,,,,,,,,,,,,,,小宮山 悟,,
中日,2,田中 幹也,2000.11.28,内野手,,,"3,600",2000,11,26,11,,,,,,,,,,,,,,清水 直行,,
中日,60,山本 泰寛,1993.10.10,内野手,,,"3,500",1993,10,33,10,,,,,,,,,,,,,,伊良部 秀輝,,
中日,41,勝野 昌慶,1997.06.12,投手,,,"3,300",1997,06,29,06,,,,,,,,,,,,,,益田 直也,,
中日,34,福 敬登,1992.06.16,投手,,,"3,000",1992,06,34,06,,,,,,,,,,,,,,薮田 安彦,,
中日,39,宇佐見 真吾,1993.06.04,捕手,,,"3,000",1993,06,33,06,,,,,,,,,,,,,,藤田 宗一,,
中日,5,村松 開人,2001.01.06,内野手,,,"2,800",2001,01,25,01,,,,,,,,,,,,,,小林 雅英,,
中日,7,福永 裕基,1996.09.16,内野手,,,"2,700",1996,09,30,09,,,,,,,,,,,,,,里崎 智也,,
中日,9,石伊 雄太,2000.08.18,捕手,,,"2,600",2000,08,26,08,,,,,,,,,,,,,,福浦 和也,,
中日,46,梅野 雄吾,1999.01.13,投手,,,"2,500",1999,01,27,01,,,,,,,,,,,,,,有藤 道世,,
中日,21,金丸 夢斗,2003.02.01,投手,,,"2,500",2003,02,23,02,,,,,,,,,,,,,,西岡 剛,,
中日,25,石川 昂弥,2001.06.22,内野手,,,"2,300",2001,06,25,06,,,,,,,,,,,,,,山内 和弘,,
中日,49,加藤 匠馬,1992.04.29,捕手,,,"2,250",1992,04,34,04,,,,,,,,,,,,,,西村 徳文,,
中日,63,板山 祐太郎,1994.03.27,内野手,,,"2,200",1994,03,32,03,,,,,,,,,,,,,,サブロー,,
中日,42,ブライト 健太,1999.05.07,外野手,,,"2,200",1999,05,27,05,,,,,,,,,,,,,,榎本 喜八,,
中日,11,中西 聖輝,2003.12.18,投手,,,"1,600",2003,12,23,12,,,,,,,,,,,,,,袴田 英利,,
中日,48,阿部 寿樹,1989.12.03,内野手,,,"1,500",1989,12,37,12,,,,,,,,,,,,,,レオン,,
中日,95,C.ロドリゲス,2002.03.31,内野手,,,"1,500",2002,03,24,03,,,,,,,,,,,,,,山崎 裕之,,
中日,44,川越 誠司,1993.06.30,外野手,,,"1,400",1993,06,33,06,,,,,,,,,,,,,,初芝 清,,
中日,45,土田 龍空,2002.12.30,内野手,,,"1,300",2002,12,24,12,,,,,,,,,,,,,,小坂 誠,,
中日,16,櫻井 頼之介,2003.07.21,投手,,,"1,200",2003,07,23,07,,,,,,,,,,,,,,角中 勝也,,
中日,47,吉田 聖弥,2002.05.23,投手,,,"1,150",2002,05,24,05,,,,,,,,,,,,,,弘田 澄男,,
中日,14,草加 勝,2001.11.21,投手,,,"1,100",2001,11,25,11,,,,,,,,,,,,,,リー,,
中日,58,石橋 康太,2000.12.07,捕手,,,"1,060",2000,12,26,12,,,,,,,,,,,,,,斉藤 和巳,,
中日,66,鵜飼 航丞,1999.05.30,外野手,,,"1,050",1999,05,27,05,,,,,,,,,,,,,,若田部 健一,,
中日,30,根尾 昂,2000.04.19,投手,,,"1,050",2000,04,26,04,,,,,,,,,,,,,,工藤 公康,,
中日,65,知野 直人,1999.02.16,内野手,,,"1,000",1999,02,27,02,,,,,,,,,,,,,,杉内 俊哉,,
中日,32,伊藤 茉央,2000.11.19,投手,,,"1,000",2000,11,26,11,,,,,,,,,,,,,,和田 毅,,
中日,219,R.マルティネス,2003.09.28,投手,,,"1,000",2003,09,23,09,,,,,,,,,,,,,,攝津 正,,
中日,52,篠﨑 国忠,2005.06.12,投手,,,"1,000",2005,06,21,06,,,,,,,,,,,,,,千賀 滉大,,
中日,0,辻本 倫太郎,2001.08.11,内野手,,,950,2001,08,25,08,,,,,,,,,,,,,,篠原 貴行,,
中日,70,近藤 廉,1998.09.22,投手,,,900,1998,09,28,09,,,,,,,,,,,,,,森福 允彦,,
中日,69,三浦 瑞樹,1999.09.02,投手,,,900,1999,09,27,09,,,,,,,,,,,,,,吉田 修司,,
中日,26,仲地 礼亜,2001.02.15,投手,,,900,2001,02,25,02,,,,,,,,,,,,,,馬原 孝浩,,
中日,29,松木平 優太,2003.02.24,投手,,,900,2003,02,23,02,,,,,,,,,,,,,,城島 健司,,
中日,0,尾田 剛樹,2000.08.03,外野手,,,850,2000,08,26,08,,,,,,,,,,,,,,井口 資仁,,
中日,97,樋口 正修,1998.11.17,内野手,,,800,1998,11,28,11,,,,,,,,,,,,,,小久保 裕紀,,
中日,57,花田 旭,2003.04.23,外野手,,,720,2003,04,23,04,,,,,,,,,,,,,,川﨑 宗則,,
中日,56,新保 茉良,2003.11.29,内野手,,,720,2003,11,23,11,,,,,,,,,,,,,,村松 有人,,
中日,36,福田 幸之介,2005.08.11,投手,,,630,2005,08,21,08,,,,,,,,,,,,,,柳田 悠岐,,
中日,31,森 駿太,2006.12.25,内野手,,,620,2006,12,20,12,,,,,,,,,,,,,,佐々木 誠,,
中日,43,味谷 大誠,2003.06.14,捕手,,,610,2003,06,23,06,,,,,,,,,,,,,,カズ山本,,
中日,67,能戸 輝夢,2007.05.15,外野手,,,600,2007,05,19,05,,,,,,,,,,,,,,吉永 幸一郎,,
中日,64,有馬 惠叶,2006.09.20,投手,,,540,2006,09,20,09,,,,,,,,,,,,,,藤本 博史,,
中日,61,高橋 幸佑,2006.12.31,投手,,,540,2006,12,20,12,,,,,,,,,,,,,,本多 雄一,,
中日,209,福元 悠真,1999.12.01,外野手,,,420,1999,12,27,12,,,,,,,,,,,,,,松田 宣浩,,
中日,207,津田 啓史,2002.11.23,内野手,,,420,2002,11,24,11,,,,,,,,,,,,,,今宮 健太,,
中日,213,森山 暁生,2005.01.11,投手,,,420,2005,01,21,01,,,,,,,,,,,,,,中村 晃,,
中日,211,梅津 晃大,1996.10.24,投手,,,400,1996,10,30,10,,,,,,,,,,,,,,柴原 洋,,
中日,204,森 博人,1998.05.25,投手,,,400,1998,05,28,05,,,,,,,,,,,,,,長谷川 勇也,,
中日,205,土生 翔太,2001.03.10,投手,,,400,2001,03,25,03,,,,,,,,,,,,,,岩隈 久志,,
中日,206,山浅 龍之介,2004.04.21,捕手,,,400,2004,04,22,04,,,,,,,,,,,,,,田中 将大,,
中日,218,川上 理偉,2001.03.10,内野手,,,330,2001,03,25,03,,,,,,,,,,,,,,永井 怜,,
中日,201,牧野 憲伸,1999.09.19,投手,,,300,1999,09,27,09,,,,,,,,,,,,,,涌井 秀章,,
中日,217,三上 愛介,2004.06.14,外野手,,,300,2004,06,22,06,,,,,,,,,,,,,,則本 昂大,,
中日,215,日渡 騰輝,2004.09.20,捕手,,,300,2004,09,22,09,,,,,,,,,,,,,,美馬 学,,
中日,202,中村 奈一輝,2006.08.16,内野手,,,300,2006,08,20,08,,,,,,,,,,,,,,青山 浩二,,
中日,203,井上 剣也,2006.12.20,投手,,,300,2006,12,20,12,,,,,,,,,,,,,,福山 博之,,
中日,216,石川 大峨,2007.08.01,内野手,,,300,2007,08,19,08,,,,,,,,,,,,,,長谷部 康平,,
DeNA,0,J.デュプランティエ,1994.07.11,投手,,,"47,000",1994,07,32,07,,,,,,,,,,,,,,小山 伸一郎,,
DeNA,25,筒香 嘉智,1991.11.26,内野手,,,"30,000",1991,11,35,11,,,,,,,,,,,,,,松井 裕樹,,
DeNA,19,山﨑 康晃,1992.10.02,投手,,,"30,000",1992,10,34,10,,,,,,,,,,,,,,嶋 基宏,,
DeNA,11,東 克樹,1995.11.29,投手,,,"30,000",1995,11,31,11,,,,,,,,,,,,,,吉岡 雄二,,
DeNA,2,牧 秀悟,1998.04.21,内野手,,,"25,000",1998,04,28,04,,,,,,,,,,,,,,藤田 一也,,
DeNA,51,宮﨑 敏郎,1988.12.12,内野手,,,"20,000",1988,12,38,12,,,,,,,,,,,,,,マギー,,
DeNA,7,佐野 恵太,1994.11.28,外野手,,,"17,000",1994,11,32,11,,,,,,,,,,,,,,渡辺 直人,,
DeNA,49,J.ルイーズ,1994.10.21,投手,,,"15,600",1994,10,32,10,,,,,,,,,,,,,,鉄平,,
DeNA,42,A.コックス,1997.03.28,投手,,,"15,600",1997,03,29,03,,,,,,,,,,,,,,聖澤 諒,,
DeNA,13,伊勢 大夢,1998.03.07,投手,,,"14,000",1998,03,28,03,,,,,,,,,,,,,,礒部 公一,,
DeNA,62,S.レイノルズ,1998.04.19,投手,,,"14,000",1998,04,28,04,,,,,,,,,,,,,,山﨑 武司,,
DeNA,99,C.ヒュンメル,1994.11.28,外野手,,,"10,700",1994,11,32,11,,,,,,,,,,,,,,藤井 彰人,,
DeNA,45,森原 康平,1991.12.26,投手,,,"10,000",1991,12,35,12,,,,,,,,,,,,,,銀次,,
DeNA,66,D.ビシエド,1989.03.10,内野手,,,"9,360",1989,03,37,03,,,,,,,,,,,,,,高須 洋介,,
DeNA,14,石田 健大,1993.03.01,投手,,,"8,000",1993,03,33,03,,,,,,,,,,,,,,浅村 栄斗,,
DeNA,27,藤浪 晋太郎,1994.04.12,投手,,,"8,000",1994,04,32,04,,,,,,,,,,,,,,茂木 栄五郎,,
DeNA,10,戸柱 恭孝,1990.04.11,捕手,,,"7,500",1990,04,36,04,,,,,,,,,,,,,,岡島 豪郎,,
DeNA,50,山本 祐大,1998.09.11,捕手,,,"7,300",1998,09,28,09,,,,,,,,,,,,,,島内 宏明,,
DeNA,16,大貫 晋一,1994.02.03,投手,,,"6,300",1994,02,32,02,,,,,,,,,,,,,,松井 稼頭央,,
DeNA,9,京田 陽太,1994.04.20,内野手,,,"6,000",1994,04,32,04,,,,,,,,,,,,,,稲尾 和久,,
DeNA,22,入江 大生,1998.08.26,投手,,,"5,800",1998,08,28,08,,,,,,,,,,,,,,西口 文也,,
DeNA,26,三森 大貴,1999.02.21,内野手,,,"5,000",1999,02,27,02,,,,,,,,,,,,,,松坂 大輔,,
DeNA,61,蝦名 達夫,1997.09.20,外野手,,,"4,700",1997,09,29,09,,,,,,,,,,,,,,東尾 修,,
DeNA,20,坂本 裕哉,1997.07.28,投手,,,"4,400",1997,07,29,07,,,,,,,,,,,,,,渡辺 久信,,
DeNA,63,関根 大気,1995.06.28,外野手,,,"4,040",1995,06,31,06,,,,,,,,,,,,,,潮崎 哲也,,
DeNA,31,柴田 竜拓,1993.12.16,内野手,,,"4,000",1993,12,33,12,,,,,,,,,,,,,,森 慎二,,
DeNA,8,神里 和毅,1994.01.17,外野手,,,"3,500",1994,01,32,01,,,,,,,,,,,,,,牧田 和久,,
DeNA,4,度会 隆輝,2002.10.04,外野手,,,"3,500",2002,10,24,10,,,,,,,,,,,,,,森 繁和,,
DeNA,41,佐々木 千隼,1994.06.08,投手,,,"3,400",1994,06,32,06,,,,,,,,,,,,,,豊田 清,,
DeNA,0,林 琢真,2000.08.24,内野手,,,"3,100",2000,08,26,08,,,,,,,,,,,,,,伊東 勤,,
DeNA,59,平良 拳太郎,1995.07.12,投手,,,"3,000",1995,07,31,07,,,,,,,,,,,,,,土井 正博,,
DeNA,54,石田 裕太郎,2002.01.22,投手,,,"3,000",2002,01,24,01,,,,,,,,,,,,,,辻 発彦,,
DeNA,52,浜地 真澄,1998.05.25,投手,,,"2,800",1998,05,28,05,,,,,,,,,,,,,,中村 剛也,,
DeNA,58,梶原 昂希,1999.09.19,外野手,,,"2,600",1999,09,27,09,,,,,,,,,,,,,,秋山 幸二,,
DeNA,64,中川 虎大,1999.10.02,投手,,,"2,300",1999,10,27,10,,,,,,,,,,,,,,平野 謙,,
DeNA,5,松尾 汐恩,2004.07.06,捕手,,,"2,300",2004,07,22,07,,,,,,,,,,,,,,中西 太,,
DeNA,6,森 敬斗,2002.01.28,内野手,,,"2,100",2002,01,24,01,,,,,,,,,,,,,,森 友哉,,
DeNA,12,竹田 祐,1999.07.05,投手,,,"2,000",1999,07,27,07,,,,,,,,,,,,,,デストラーデ,,
DeNA,53,颯,1998.10.10,投手,,,"1,900",1998,10,28,10,,,,,,,,,,,,,,片岡 易之,,
DeNA,3,小田 康一郎,2003.08.15,内野手,,,"1,600",2003,08,23,08,,,,,,,,,,,,,,石毛 宏典,,
DeNA,44,石上 泰輝,2001.05.18,内野手,,,"1,500",2001,05,25,05,,,,,,,,,,,,,,豊田 泰光,,
DeNA,65,宮城 滝太,2000.07.15,投手,,,"1,280",2000,07,26,07,,,,,,,,,,,,,,栗山 巧,,
DeNA,115,馬場 皐輔,1995.05.18,投手,,,"1,200",1995,05,31,05,,,,,,,,,,,,,,秋山 翔吾,,
DeNA,30,篠木 健太郎,2002.05.07,投手,,,"1,200",2002,05,24,05,,,,,,,,,,,,,,中島 宏之,,
DeNA,15,島田 舜也,2003.04.30,投手,,,"1,200",2003,04,23,04,,,,,,,,,,,,,,ダルビッシュ ,,
DeNA,24,吉野 光樹,1998.07.19,投手,,,"1,100",1998,07,28,07,,,,,,,,,,,,,,西崎 幸広,,
DeNA,98,H.マルセリーノ,2002.06.16,投手,,,"1,090",2002,06,24,06,,,,,,,,,,,,,,土橋 正幸,,
DeNA,47,片山 皓心,1998.10.31,投手,,,"1,000",1998,10,28,10,,,,,,,,,,,,,,尾崎 行雄,,
DeNA,38,松本 凌人,2001.12.05,投手,,,950,2001,12,25,12,,,,,,,,,,,,,,高橋 直樹,,
DeNA,55,井上 絢登,2000.02.23,外野手,,,900,2000,02,26,02,,,,,,,,,,,,,,岩本 ツトム,,
DeNA,34,宮下 朝陽,2004.01.26,内野手,,,900,2004,01,22,01,,,,,,,,,,,,,,宮西 尚生,,
DeNA,48,成瀬 脩人,2001.05.23,内野手,,,850,2001,05,25,05,,,,,,,,,,,,,,増井 浩俊,,
DeNA,39,若松 尚輝,2000.05.10,投手,,,800,2000,05,26,05,,,,,,,,,,,,,,グロス,,
DeNA,60,古市 尊,2002.06.15,捕手,,,800,2002,06,24,06,,,,,,,,,,,,,,大谷 翔平,,
DeNA,37,加藤 響,2002.06.15,内野手,,,750,2002,06,24,06,,,,,,,,,,,,,,武田 久,,
DeNA,92,堀岡 隼人,1998.09.11,投手,,,730,1998,09,28,09,,,,,,,,,,,,,,田村 藤夫,,
DeNA,46,坂口 翔颯,2002.09.12,投手,,,700,2002,09,24,09,,,,,,,,,,,,,,小笠原 道大,,
DeNA,18,小園 健太,2003.04.09,投手,,,660,2003,04,23,04,,,,,,,,,,,,,,田中 賢介,,
DeNA,95,九鬼 隆平,1998.09.05,捕手,,,650,1998,09,28,09,,,,,,,,,,,,,,片岡 篤史,,
DeNA,67,濱 将乃介,2000.05.03,外野手,,,650,2000,05,26,05,,,,,,,,,,,,,,田中 幸雄,,
DeNA,35,橋本 達弥,2000.07.18,投手,,,650,2000,07,26,07,,,,,,,,,,,,,,中田 翔,,
DeNA,28,勝又 温史,2000.05.22,外野手,,,620,2000,05,26,05,,,,,,,,,,,,,,張本 勲,,
DeNA,57,東妻 純平,2001.07.03,捕手,,,600,2001,07,25,07,,,,,,,,,,,,,,鶴岡 慎也,,
DeNA,129,西巻 賢二,1999.04.22,内野手,,,570,1999,04,27,04,,,,,,,,,,,,,,白井 一幸,,
DeNA,68,岩田 将貴,1998.06.16,投手,,,560,1998,06,28,06,,,,,,,,,,,,,,古屋 英夫,,
DeNA,32,益子 京右,2000.12.27,捕手,,,560,2000,12,26,12,,,,,,,,,,,,,,金子 誠,,
DeNA,140,松本 隆之介,2002.07.31,投手,,,560,2002,07,24,07,,,,,,,,,,,,,,毒島 章一,,
DeNA,33,武田 陸玖,2005.06.06,投手,,,560,2005,06,21,06,,,,,,,,,,,,,,島田 誠,,
DeNA,136,森下 瑠大,2004.09.19,投手,,,550,2004,09,22,09,,,,,,,,,,,,,,森本 稀哲,,
